timestamp,latitude,longitude,speed,fuel_level,engine_temp,accelerometer_x,accelerometer_y,accelerometer_z,head_direction,eye_closed_duration,driver_state,vehicle_health,vehicle_type,head_tilt,engine_overheat,harsh_braking,fatigue_score,speeding_flag
2025-05-04T17:54:22.991860,32.174908023769476,-110.96297341423228,84,35.59,93,0.35,-1.46,1.39,-13.169738801348416,0.25,distracted,normal,SUV,18.70965175371782,False,False,0.24,False
2025-05-04T17:54:17.991860,32.29014286128198,-110.89161981052433,0,22.73,110,-0.91,0.4,2.25,-12.403205310597901,1.8,awake,normal,truck,3.8961417737090387,True,True,0.4,False
2025-05-04T17:54:12.991860,32.24639878836228,-110.82541083282472,8,22.27,83,-2.88,-2.05,2.22,-3.3971833785229015,0.45,awake,normal,SUV,-8.682927318763664,False,False,0.18,False
2025-05-04T17:54:07.991860,32.2197316968394,-110.85355502271808,26,34.28,128,0.23,-1.53,-0.53,5.510482602242671,2.78,drowsy,needs_maintenance,truck,5.346290861224353,True,False,0.61,False
2025-05-04T17:54:02.991860,32.13120372808849,-110.83868777042771,29,63.61,80,2.37,-2.21,-1.23,13.703769393498742,2.0,drowsy,normal,SUV,-26.35747739016878,False,False,0.67,False
2025-05-04T17:53:57.991860,32.13119890406724,-110.86824332665786,136,94.8,93,1.26,1.87,-0.15,-12.047684260205173,1.53,awake,normal,SUV,0.03375506597160999,False,False,0.31,True
2025-05-04T17:53:52.991860,32.11161672243364,-110.86154468709643,77,72.08,98,0.01,-1.25,0.17,22.390328534392825,0.3,distracted,normal,SUV,3.2782117284308527,False,True,0.09,False
2025-05-04T17:53:47.991860,32.273235229154984,-110.83016086968694,66,24.87,114,-2.71,-2.24,-2.47,-4.0668540156385315,1.09,awake,needs_maintenance,truck,9.242701395378297,True,False,0.31,False
2025-05-04T17:53:42.991860,32.22022300234864,-110.95006639822816,140,64.05,95,1.97,-1.4,1.38,-0.32050941522654236,1.17,awake,normal,SUV,-10.138959522925377,False,False,0.34,True
2025-05-04T17:53:37.991860,32.241614515559206,-110.90211500727138,126,15.29,66,1.02,-2.81,0.94,-11.20817518721735,1.16,awake,needs_maintenance,SUV,0.8568716140335904,False,False,0.24,True
2025-05-04T17:53:32.991860,32.10411689885916,-110.95575811163607,112,30.68,71,2.78,-2.56,-2.93,-36.36360390409413,0.48,distracted,normal,SUV,-9.254246260595874,False,False,0.19,True
2025-05-04T17:53:27.991860,32.2939819704324,-110.80246639840067,54,65.55,101,-0.99,1.32,1.01,13.260680945415746,1.71,awake,normal,truck,2.553837556743171,True,True,0.37,False
2025-05-04T17:53:22.991860,32.26648852816008,-110.81118813206267,126,86.29,63,-0.04,1.05,2.34,11.052658456386501,0.97,awake,normal,sedan,-8.95346322363024,False,False,0.29,True
2025-05-04T17:53:17.991860,32.14246782213566,-110.9921146377263,24,86.41,82,-2.32,-2.51,1.64,-4.219913356773201,2.38,awake,normal,SUV,-4.081008391602206,False,True,0.52,False
2025-05-04T17:53:12.991860,32.13636499344142,-110.85888496549686,123,50.98,78,-1.4,-0.76,-1.37,1.0048607583730789,2.26,awake,normal,SUV,-9.958153947902291,False,False,0.55,True
2025-05-04T17:53:07.991860,32.136680901970685,-110.81495033651686,7,86.55,88,-1.08,-1.52,-2.5,7.739088265561492,1.83,awake,normal,SUV,6.511362418236571,False,True,0.43,False
2025-05-04T17:53:02.991860,32.160848448591906,-110.96388493097453,110,88.26,61,-1.22,-2.39,2.84,-23.43818785329814,2.39,distracted,normal,sedan,8.584511166566653,False,False,0.57,True
2025-05-04T17:52:57.991860,32.20495128632645,-110.88641095388947,23,61.01,61,1.56,1.72,-1.07,-7.935790160194422,1.74,awake,normal,sedan,-2.346205699574138,False,True,0.37,False
2025-05-04T17:52:52.991860,32.18638900372842,-110.81690234048239,14,91.27,80,-2.49,0.75,1.99,11.913970194327407,0.86,awake,normal,SUV,0.3823799496002834,False,False,0.18,False
2025-05-04T17:52:47.991860,32.15824582803961,-110.99321080428284,28,47.07,92,-0.51,-1.57,1.03,-18.81434134753874,0.25,awake,normal,SUV,-14.48591414633544,False,False,0.2,False
2025-05-04T17:52:42.991860,32.22237057894448,-110.86051594655063,51,12.29,118,-2.5,0.97,-0.38,4.4033689824994395,1.07,awake,needs_maintenance,truck,-2.996766480067871,True,False,0.24,False
2025-05-04T17:52:37.991860,32.12789877213041,-110.9405301985255,107,83.57,112,-2.91,-1.71,-1.72,-20.348727069351074,2.5,distracted,needs_maintenance,truck,-0.5020461704174478,True,False,0.51,True
2025-05-04T17:52:32.991860,32.15842892970704,-110.81512076092469,17,76.37,79,-1.84,0.97,-0.87,6.996449736502895,2.68,drowsy,normal,sedan,26.20793091029975,False,True,0.8,False
2025-05-04T17:52:27.991860,32.173272368658736,-110.80578835096692,36,79.76,109,0.25,1.98,-0.13,-0.5346222344622535,0.95,awake,normal,truck,-11.119670257741635,True,False,0.3,False
2025-05-04T17:52:22.991860,32.19121399684341,-110.81114670217731,121,68.17,73,2.99,-2.51,2.12,-24.22697723858264,0.23,distracted,normal,sedan,14.641772387524375,False,False,0.2,True
2025-05-04T17:52:17.991860,32.2570351922786,-110.90515715666851,128,36.5,85,1.17,-0.54,1.71,17.47109031685757,1.65,awake,normal,SUV,9.96858773465808,False,False,0.43,True
2025-05-04T17:52:12.991860,32.13993475643167,-110.82759146980213,28,18.07,61,-0.67,-0.24,-0.3,-11.018873651970738,0.49,awake,needs_maintenance,SUV,2.806364044901364,False,True,0.13,False
2025-05-04T17:52:07.991860,32.202846887682725,-110.83109012029298,83,71.86,113,-1.71,0.11,-2.18,-12.153786555215715,1.89,distracted,needs_maintenance,truck,17.586204841951336,True,False,0.56,False
2025-05-04T17:52:02.991860,32.218482913772405,-110.93617990535135,12,14.07,94,-2.07,1.57,-2.17,3.0085379584641427,0.9,awake,needs_maintenance,SUV,3.721054726068629,False,True,0.22,False
2025-05-04T17:51:57.991860,32.109290082544,-110.83421690516987,133,59.63,127,0.85,1.59,1.82,17.22956024143073,1.84,awake,needs_maintenance,truck,3.8915919566792874,True,False,0.41,True
